date,regime_0_prob,regime_1_prob,regime_2_prob,regime_id,regime_label
2019-09-24,0.0014064247331317908,0.9915778638507892,0.007015711416079632,1,High-Vol Bull
2019-09-25,0.005107119007284496,0.9942475033844718,0.0006453776082444053,1,High-Vol Bull
2019-09-26,0.007059345502509183,0.9918364684246097,0.0011041860728810777,1,High-Vol Bull
2019-09-27,0.02374979428562059,0.9021256715823088,0.07412453413207017,1,High-Vol Bull
2019-09-30,0.1632180859321255,1.1275349094842414e-05,0.8367706387187798,2,High-Vol Bear
2019-10-01,0.36033837124400636,0.45569305244946107,0.18396857630653346,1,High-Vol Bull
2019-10-02,8.399212060507861e-09,1.3288917551007405e-35,0.999999991600788,2,High-Vol Bear
2019-10-03,3.4806293443662903e-07,1.1989055565206597e-23,0.9999996519370671,2,High-Vol Bear
2019-10-04,0.06415734163191146,0.00020156015752874457,0.9356410982105604,2,High-Vol Bear
2019-10-07,0.019186216530968744,0.8457766025830792,0.1350371808859514,1,High-Vol Bull
2019-10-08,0.12478886963198418,0.4326117626836854,0.4425993676843308,2,High-Vol Bear
2019-10-09,0.033975124166017945,0.9272024111632059,0.038822464670775755,1,High-Vol Bull
2019-10-10,0.12972999798387863,0.018754428750399413,0.8515155732657212,2,High-Vol Bear
2019-10-11,0.29573739294967527,4.616848419794602e-09,0.704262602433477,2,High-Vol Bear
2019-10-14,0.987655424796167,2.4423802913100659e-23,0.012344575203833323,0,Mean-Reverting / Stagnant
2019-10-15,0.9779127353812557,4.5893126056093435e-10,0.022087264159813366,0,Mean-Reverting / Stagnant
2019-10-16,0.9924526698032079,2.7854293993902874e-09,0.007547327411362885,0,Mean-Reverting / Stagnant
2019-10-17,0.9963281598111142,4.9059405265141184e-09,0.003671835282945369,0,Mean-Reverting / Stagnant
2019-10-18,0.991020560454045,1.5550447099548292e-09,0.008979437990910883,0,Mean-Reverting / Stagnant
2019-10-21,0.9931917166414933,1.2479131614861577e-09,0.0068082821105929885,0,Mean-Reverting / Stagnant
2019-10-22,0.9994046490492665,6.138556404677693e-23,0.0005953509507335496,0,Mean-Reverting / Stagnant
2019-10-23,0.9997725139459485,1.5405461389206166e-23,0.00022748605405209228,0,Mean-Reverting / Stagnant
2019-10-24,0.9995193468020641,2.278754041930509e-23,0.0004806531979359639,0,Mean-Reverting / Stagnant
2019-10-25,0.9980464657280712,9.413546149328156e-24,0.0019535342719282814,0,Mean-Reverting / Stagnant
2019-10-28,0.9999791599313509,8.061309350428631e-47,2.0840068648382515e-05,0,Mean-Reverting / Stagnant
2019-10-29,0.99999733018289,7.111941801504968e-47,2.6698171098660687e-06,0,Mean-Reverting / Stagnant
2019-10-30,0.9999892161220947,1.0213297475344787e-46,1.0783877905274224e-05,0,Mean-Reverting / Stagnant
2019-10-31,0.9998593344910655,5.08919799823494e-44,0.00014066550893435963,0,Mean-Reverting / Stagnant
2019-11-01,0.9987930358482194,7.181645892116577e-23,0.0012069641517796481,0,Mean-Reverting / Stagnant
2019-11-04,0.9998294818171298,4.72199544756195e-49,0.0001705181828705115,0,Mean-Reverting / Stagnant
2019-11-05,0.9999995789823755,2.127571761265797e-93,4.210176243648298e-07,0,Mean-Reverting / Stagnant
2019-11-06,0.9999999999648637,1.1122452047608583e-149,3.513685943314812e-11,0,Mean-Reverting / Stagnant
2019-11-07,1.0,1.0596036224642292e-223,3.9375011433776984e-17,0,Mean-Reverting / Stagnant
2019-11-08,1.0,4.644511145226002e-217,3.086699381069804e-20,0,Mean-Reverting / Stagnant
2019-11-11,0.9999999999999805,1.52412730796227e-135,2.0098553023529653e-14,0,Mean-Reverting / Stagnant
2019-11-12,0.9999999999999591,4.108474682580082e-134,4.034421877228711e-14,0,Mean-Reverting / Stagnant
2019-11-13,1.0,1.198384239908116e-211,1.5343938439583622e-20,0,Mean-Reverting / Stagnant
2019-11-14,0.9999999999998845,9.697525328393756e-136,1.1605265101440117e-13,0,Mean-Reverting / Stagnant
2019-11-15,0.9999999999995257,2.9636634479003044e-138,4.741788219963873e-13,0,Mean-Reverting / Stagnant
2019-11-18,1.0,1.2331069404717135e-216,3.189458585487398e-20,0,Mean-Reverting / Stagnant
2019-11-19,0.9999999999999147,2.1529473592321012e-139,8.46672900480706e-14,0,Mean-Reverting / Stagnant
2019-11-20,0.9999999910122401,4.134753853832237e-83,8.987759206855764e-09,0,Mean-Reverting / Stagnant
2019-11-21,0.9999999905867689,1.4185053492334533e-79,9.413230488287879e-09,0,Mean-Reverting / Stagnant
2019-11-22,0.9999967585626014,7.426570469132357e-42,3.241437399457206e-06,0,Mean-Reverting / Stagnant
2019-11-25,0.99999963140024,1.324664525534976e-80,3.685997594401169e-07,0,Mean-Reverting / Stagnant
2019-11-26,0.999999999999396,5.039385375203354e-138,6.039930576878491e-13,0,Mean-Reverting / Stagnant
2019-11-27,0.9999999908884032,1.7176635135630127e-88,9.111595970876545e-09,0,Mean-Reverting / Stagnant
2019-11-28,0.9999999894437065,2.4995577337344733e-85,1.055629432392662e-08,0,Mean-Reverting / Stagnant
2019-11-29,0.9999999734999324,7.936700997335887e-84,2.650006818629642e-08,0,Mean-Reverting / Stagnant
2019-12-02,5.417014108329338e-10,2.0646570285920288e-94,0.9999999994582964,2,High-Vol Bear
2019-12-03,7.73440584600742e-12,2.4587240362288983e-73,0.9999999999922657,2,High-Vol Bear
2019-12-04,0.9446050460583046,1.978174653930221e-12,0.05539495393971696,0,Mean-Reverting / Stagnant
2019-12-05,0.9955696485036162,8.196014181113442e-27,0.004430351496383819,0,Mean-Reverting / Stagnant
2019-12-06,0.9902424781483004,4.5857871285862466e-10,0.009757521393121553,0,Mean-Reverting / Stagnant
2019-12-09,0.9716625674758593,4.2438426488328865e-10,0.028337432099757,0,Mean-Reverting / Stagnant
2019-12-10,0.9851476104628638,0.0032620560026678804,0.01159033353446896,0,Mean-Reverting / Stagnant
2019-12-11,0.9891790951735043,0.007212588986549952,0.003608315839945078,0,Mean-Reverting / Stagnant
2019-12-12,0.9332825054610266,0.024110005833960082,0.04260748870501382,0,Mean-Reverting / Stagnant
2019-12-13,0.9344179586136664,0.0021367903674836416,0.06344525101884983,0,Mean-Reverting / Stagnant
2019-12-16,0.05127525511823759,5.3915749893061234e-14,0.948724744881707,2,High-Vol Bear
2019-12-17,0.9486300094944305,0.0008060863406429142,0.050563904164925705,0,Mean-Reverting / Stagnant
2019-12-18,0.9818682550027903,0.007546922129535465,0.010584822867674358,0,Mean-Reverting / Stagnant
2019-12-19,0.07819065196519848,0.9211151144736798,0.0006942335611209571,1,High-Vol Bull
2019-12-20,0.5183202751970396,0.47164357772333165,0.010036147079629272,0,Mean-Reverting / Stagnant
2019-12-23,0.11224200542817409,0.8869993346129493,0.000758659958877122,1,High-Vol Bull
2019-12-24,0.040167322855685805,0.959726357966236,0.00010631917807849167,1,High-Vol Bull
2019-12-26,0.03013779267085917,0.9698300000747638,3.220725437746323e-05,1,High-Vol Bull
2019-12-27,0.016300154397627296,0.9835530801790087,0.00014676542336431567,1,High-Vol Bull
2019-12-30,0.8860711651466366,0.06872672949454754,0.045202105358815914,0,Mean-Reverting / Stagnant
2019-12-31,0.023867057423401415,0.9756615627266673,0.00047137984993146686,1,High-Vol Bull
2020-01-02,0.002824522803051918,0.9966476388143077,0.0005278383826408817,1,High-Vol Bull
2020-01-03,0.005828418762735741,0.9863921808641716,0.007779400373093497,1,High-Vol Bull
2020-01-06,0.0020185457294681765,0.9979472079745854,3.424629594663249e-05,1,High-Vol Bull
2020-01-07,0.006827477519658685,0.9930649392364935,0.0001075832438481547,1,High-Vol Bull
